library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
EMPTY_,WGS_NovaSeq,WGS_NovaSeq~EMPTY_,Z000,,,,,
Excalibur_1,WGS_NovaSeq,WGS_NovaSeq~Excalibur_1,IW_A0379_1,,Y,,Y,
Excalibur_2,WGS_NovaSeq,WGS_NovaSeq~Excalibur_2,IW_A0379_2,,Y,,Y,
Excalibur_3,WGS_NovaSeq,WGS_NovaSeq~Excalibur_3,IW_A0379_3,,Y,,Y,
Excalibur_4,WGS_NovaSeq,WGS_NovaSeq~Excalibur_4,IW_A0379_4,,Y,,Y,
Excalibur_5,WGS_NovaSeq,WGS_NovaSeq~Excalibur_5,IW_A0379_5,,Y,,Y,
GES17_AUST_ADV11_9419_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_ADV11_9419_2,IW_P02942,,Y,,,Y
GES17_AUST_Arrow_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Arrow_2,IW_P02903,,Y,,,Y
GES17_AUST_Beaufort_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Beaufort_2,IW_P02906,,Y,,,Y
GES17_AUST_Beckom_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Beckom_2,IW_P02885,,Y,,,Y
GES17_AUST_Bolac_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Bolac_2,IW_P02894,,Y,,,Y
GES17_AUST_Cobra_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Cobra_2,IW_P02909,,Y,,,Y
GES17_AUST_Condo_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Condo_2,IW_P02897,,Y,,,Y
GES17_AUST_Coolah_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Coolah_2,IW_P02888,,Y,,,Y
GES17_AUST_Dart_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Dart_2,IW_P02912,,Y,,,Y
GES17_AUST_Emu_Rock_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Emu_Rock_2,IW_P02876,,Y,,,Y
GES17_AUST_Flanker_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Flanker_2,IW_P02915,,Y,,,Y
GES17_AUST_Gauntlet_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Gauntlet_2,IW_P02918,,Y,,,Y
GES17_AUST_Gladius_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Gladius_2,IW_P02879,,Y,,,Y
GES17_AUST_Harper_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Harper_2,IW_P02873,,Y,,,Y
GES17_AUST_Hydra_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Hydra_2,IW_P02870,,Y,,,Y
GES17_AUST_Impala_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Impala_2,IW_P02921,,Y,,,Y
GES17_AUST_Kittyhawk_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Kittyhawk_2,IW_P02924,,Y,,,Y
GES17_AUST_Lancer_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Lancer_2,IW_P02927,,Y,,,Y
GES17_AUST_Mace_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Mace_2,IW_P02858,,Y,,,Y
GES17_AUST_Magenta_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Magenta_2,IW_P02861,,Y,,,Y
GES17_AUST_Ninja_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Ninja_2,IW_P02864,,Y,,,Y
GES17_AUST_Pascal_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Pascal_2,IW_P02945,,Y,,,Y
GES17_AUST_Reliant_2,WGS_NovaSeq,WGS_NovaSeq~GES17_AUST_Reliant_2,IW_P02930,,Y,,,Y
